"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 27 16:30:32 EEST 2024","Mon May 27 16:30:33 EEST 2024","667","","Messaging in Chat server: Two users are messaging","","","","Then User2 connects to the server",""
"passed","Mon May 27 16:30:32 EEST 2024","Mon May 27 16:30:32 EEST 2024","192","","Messaging in Chat server: Two users are messaging","","","","When User1 opens another browser tab",""
"passed","Mon May 27 16:30:29 EEST 2024","Mon May 27 16:30:30 EEST 2024","667","","Messaging in Chat server: Two users are messaging","","","","When User1 connects to the server",""
"passed","Mon May 27 16:30:31 EEST 2024","Mon May 27 16:30:31 EEST 2024","196","","Messaging in Chat server: Two users are messaging","","","","And User1 connects",""
"passed","Mon May 27 16:30:33 EEST 2024","Mon May 27 16:30:33 EEST 2024","168","","Messaging in Chat server: Two users are messaging","","","","When User2 goes back to the first browser tab",""
"passed","Mon May 27 16:30:31 EEST 2024","Mon May 27 16:30:31 EEST 2024","377","","Messaging in Chat server: Two users are messaging","","","","When User1 sends a message Hello, that is my message1!",""
"passed","Mon May 27 16:30:27 EEST 2024","Mon May 27 16:30:29 EEST 2024","2640","","Messaging in Chat server: Two users are messaging","","","","When User1 opens chat window",""
"passed","Mon May 27 16:30:33 EEST 2024","Mon May 27 16:30:34 EEST 2024","166","","Messaging in Chat server: Two users are messaging","","","","Then Hello you! That is my message2 as well! from User2 is visible",""
"passed","Mon May 27 16:30:31 EEST 2024","Mon May 27 16:30:32 EEST 2024","674","","Messaging in Chat server: Two users are messaging","","","","Then Hello, that is my message1! from User1 is visible",""
"passed","Mon May 27 16:30:29 EEST 2024","Mon May 27 16:30:29 EEST 2024","169","","Messaging in Chat server: Two users are messaging","","","","Then Chat window is visible",""
"passed","Mon May 27 16:30:30 EEST 2024","Mon May 27 16:30:31 EEST 2024","344","","Messaging in Chat server: Two users are messaging","","","","And User1 enters User0001",""
"passed","Mon May 27 16:30:34 EEST 2024","Mon May 27 16:30:34 EEST 2024","175","","Messaging in Chat server: Two users are messaging","","","","Then User1 is not in the list",""
"passed","Mon May 27 16:30:33 EEST 2024","Mon May 27 16:30:33 EEST 2024","366","","Messaging in Chat server: Two users are messaging","","","","And User2 replies with a message Hello you! That is my message2 as well!",""
"failed","Mon May 27 16:30:34 EEST 2024","Mon May 27 16:30:34 EEST 2024","0","","","","","","hook:",""
"passed","Mon May 27 16:30:33 EEST 2024","Mon May 27 16:30:33 EEST 2024","192","","Messaging in Chat server: Two users are messaging","","","","When User2 enters User0002",""
"passed","Mon May 27 16:30:34 EEST 2024","Mon May 27 16:30:34 EEST 2024","185","","Messaging in Chat server: Two users are messaging","","","","When User1 disconnects",""
"passed","Mon May 27 16:30:33 EEST 2024","Mon May 27 16:30:33 EEST 2024","162","","Messaging in Chat server: Two users are messaging","","","","And User2 connects",""
